Sensor,accelerometer,accelerometer,accelerometer,gyroscope,gyroscope,gyroscope
Axis,x,y,z,x,y,z
Timestamp,,,,,,
1782809056.638036,-0.20590134,2.4349031,9.646238,0.013439035,0.057421334,0.00061086525
1782809056.861883,-0.093373865,2.3223755,9.7563715,-0.07819075,-0.100792766,-0.03848451
1782809057.085386,-0.062249243,2.2577322,9.715671,-0.014049901,-0.04520403,0.0018325958
1782809057.308203,-0.10534488,2.2601264,9.696517,-0.02076942,0.004276057,0.007941248
1782809057.53124,-0.07182605,2.243367,9.672575,0.01282817,0.040927973,0.015882496
1782809057.750678,0.0023942017,2.1188686,9.773131,-0.04153884,-0.032986723,-0.03176499
1782809057.96739,0.047884032,2.1140802,9.782708,-0.15454891,-0.20280726,-0.051923547
1782809058.1867661,1.0749966,0.7469909,11.295844,-0.9773844,-1.0213667,-1.4807373
1782809058.411555,4.3718123,-4.381389,10.156203,1.1618657,0.9126327,0.21197024
1782809058.631424,2.755726,2.8107927,9.076419,0.059864793,0.37140608,-0.14966199
1782809058.8501399,1.8195933,2.4229321,9.82341,-0.65668017,0.7244862,-0.10629055
1782809059.066679,0.32561144,1.7717092,9.962274,-0.15210545,-0.2828306,-0.16615535
1782809059.29155,0.28491,1.1133038,9.323022,0.010995574,0.047647487,0.19975294
1782809059.511799,0.5410896,1.0606314,9.849746,-0.2779437,-0.084910266,0.09407325
1782809059.727266,0.7374141,0.6727707,9.655815,-0.089186326,0.07391469,0.12339478
1782809059.949419,0.7565677,0.47644615,10.0029745,0.039095376,0.19058995,0.05131268
1782809060.1743832,-0.22505496,0.37110126,9.883265,-0.06536258,-0.3408628,-0.09162979
1782809060.399148,0.16519992,0.6991069,9.923966,-0.15210545,-0.023823744,0.12522738
1782809060.622625,0.33518824,0.5386954,9.763555,-0.034208454,-0.03970624,0.030543262
1782809060.8475342,0.088585466,0.61530983,9.864111,-0.03481932,-0.021991149,0.052534413
1782809061.065398,0.35194764,0.581791,10.0987425,0.034208454,-0.044593163,0.0061086523
1782809061.286596,0.641646,0.545878,10.022128,0.040317107,-0.09285152,-0.0067195175
1782809061.50607,0.59615624,0.7302315,9.89763,0.058643065,-0.1142318,-0.0030543262
1782809061.729012,1.0726024,0.6488287,9.919178,-0.08368854,0.03176499,0.02076942
1782809061.9481542,0.82360536,0.80924016,9.868899,0.01282817,0.012217305,-0.02687807
1782809062.16975,0.7757214,0.6823475,9.758766,-0.015882496,0.0067195175,0.009162978
1782809062.3924742,0.8858546,0.5267244,9.974244,-0.02565634,0.026267206,-0.018325957
1782809062.620068,0.8619126,0.59855044,9.825804,-0.014660766,0.0030543262,0.019547688
1782809062.8451781,0.79726917,0.61291564,9.832987,-0.01160644,0.10262536,0.021380283
1782809063.069131,0.5770026,0.5482722,10.06283,0.037873644,-0.00061086525,0.062308256
1782809063.2911732,0.7565677,0.49081135,9.7563715,0.13316862,-0.040317107,-0.07269296
1782809063.514087,0.4429273,0.7206547,9.883265,-0.014660766,-0.0036651916,-0.00061086525
1782809063.7355862,0.82360536,0.5793968,9.758766,0.019547688,0.10140363,0.047647487
1782809063.955904,0.5243302,0.5363012,10.055647,-0.01038471,-0.03359759,-0.015882496
1782809064.1701171,0.60094464,0.6655881,9.91439,-0.00061086525,0.029932396,-0.0018325958
1782809064.40329,0.5291186,0.44532153,9.785102,-0.084910266,-0.020158553,-0.012217305
1782809064.621461,0.39743748,0.47884035,9.82341,-0.47952923,0.017715093,-0.28588495
1782809064.8425448,0.21308395,-1.0366893,11.566388,0.6010914,1.010982,0.258396
1782809065.066622,-6.8522053,4.0462008,9.952697,1.7037032,2.9755247,1.3952162
1782809065.288146,-6.8641763,6.83784,5.3007627,1.4086553,2.8887818,0.79045963
1782809065.509212,-6.6870055,7.9822683,3.857059,0.6908886,0.95111716,0.32253686
1782809065.726188,-3.0095115,4.4101195,0.4261679,-0.58093286,-1.5033394,-0.61453044
1782809065.943319,-3.6487634,4.927267,5.116409,-1.2583824,-4.8698177,-1.8466456
1782809066.163039,0.6919243,6.6510925,13.852851,-0.30909783,-2.4349089,-2.2321017
1782809066.383598,0.31603462,2.6001031,12.495338,0.6072,-1.5601498,-0.32070425
1782809066.603621,-1.4748282,3.5745432,11.822568,1.668273,0.66889745,-0.9053023
1782809066.825568,-1.6089035,5.3701944,2.6839,-0.40622538,-0.33841935,-0.24495697
1782809067.050682,0.7757214,3.0478187,5.671864,-1.3170254,0.6921103,0.9639453
1782809067.272197,-2.6001031,5.1259856,12.047623,-0.47219884,4.604091,2.9040534
1782809067.4884312,-4.0797195,5.4659624,15.222335,1.2046263,4.021937,1.0567969
1782809067.708261,-3.7134068,6.009446,5.33907,0.43676865,2.6407704,1.0085385
1782809067.931653,2.633622,3.2992098,0.1436521,-0.7812967,-4.197866,-0.48624873
1782809068.150635,-3.1747115,4.7860093,8.396465,-1.7733418,-4.076915,-1.2162327
1782809068.3750741,-2.4157495,11.319786,13.994109,-2.4526238,-2.9938505,-0.5546656
1782809068.5963788,5.7029886,3.7253778,8.698134,0.7666359,-0.9297369,-1.5393804
1782809068.81911,5.647922,0.6799533,5.4061074,-0.19364429,0.52595496,-0.10140363
1782809069.041383,4.1299977,5.554548,4.673482,-0.0421497,-0.040927973,-0.21563543
1782809069.261388,3.7684734,2.755726,6.83784,0.24556783,3.2876768,0.3036
1782809069.481458,0.21547815,3.8881836,11.978191,,,
