Sensor,linear_acceleration,linear_acceleration,linear_acceleration,rotation_vector,rotation_vector,rotation_vector
Axis,x,y,z,x,y,z
635021866775306,-0.015044689,-0.1818626,-0.0042304993,0.020559153,0.021453924,0.11193281
635022030323806,0.09051061,-0.14767648,1.1152859,0.002067916,0.026592162,0.12800945
635022193830459,0.06798126,0.29619431,-0.663599,0.038246796,0.018644493,0.13052383
635022357361689,0.013059497,-0.24156281,0.2039175,0.024478499,0.019956892,0.1367135
635022520871727,1.4363842,-0.27621716,0.7985134,0.023284461,0.0030934506,0.13195565
635022684421495,0.6894311,-0.10633236,-0.16992855,0.02432418,0.0046610394,0.12502629
635022847965533,-0.45935395,-0.21283022,0.06620884,0.021547507,-0.010187797,0.083374
635023011510110,-0.79541236,-0.25041693,-0.68696404,0.036449984,-0.027483968,0.04189023
635023175039840,-0.47894746,0.02490908,0.13708115,0.031811718,0.03118149,-0.0068149045
635023338482801,0.87388015,0.35742128,-0.7557173,0.05300638,0.012781373,-0.042707916
635023502025415,-0.76963556,-0.26113838,0.40528965,0.05634308,0.005783156,-0.107279435
635023665532299,-1.6359425,-0.18452728,0.16788769,0.055992316,0.02327982,-0.17977785
635023829030030,-1.2566528,-0.32234937,-0.16875839,0.052561283,0.104746796,-0.21746068
635023992529683,0.80687845,0.39006877,0.5961027,0.04478216,0.08525937,-0.18955007
635024156120298,1.6363642,-0.021754444,0.43881512,0.05323152,0.08198974,-0.11880199
635024319600412,1.251236,-0.45399034,-0.7806225,0.06416122,0.06831314,-0.051761497
635024483125989,1.784258,-0.14545703,0.24140644,0.06406092,0.053230062,0.015720936
635024646662988,1.7646554,-0.38395214,1.3518295,0.07541488,0.0585002,0.06625801
635024810120026,0.47712985,-0.9811538,0.87524796,0.079321444,0.049443193,0.122950196
635024973665487,1.4644831,-0.6624149,0.9869499,0.048914578,0.08812867,0.19961753
635025137189025,1.602647,-0.66271734,0.5612879,0.032778833,0.08950988,0.25868237
635025300715601,1.8337599,-0.921383,-0.4795828,0.029492708,0.08086153,0.2772239
635025464242408,0.7459226,-0.30716288,0.90124893,0.013134026,0.07968513,0.28256288
635025627748138,1.5705544,-0.42803222,0.49455738,0.009177485,0.031004284,0.30393097
635025791239945,1.9967,0.3382821,0.71051884,0.015152279,0.028991887,0.3209046
635025954757675,0.09496239,-0.27087757,0.065942764,0.017337985,-0.003120045,0.29514197
635026118223482,0.09882006,-0.5601775,0.27556515,0.029097497,-0.011904823,0.25825402
635026281762866,-0.28413305,-0.3162482,-0.08908367,0.032656748,-0.011351638,0.20851897
635026445296827,-0.9985324,-0.6426561,0.31006718,0.035545886,-0.019631555,0.14071545
635026608829134,-0.79826534,-0.61209136,0.6630583,0.02933536,-0.038102943,0.08192736
635026772360634,-0.4788989,-0.17120987,-0.36117744,0.027242443,-0.011403402,0.016405044
635026935916518,0.16981511,0.22077054,0.44934464,0.01780038,-0.011506882,-0.021594085
