Sensor,gyroscope,gyroscope,gyroscope,gyroscope,accelerometer,accelerometer,accelerometer,accelerometer,rotation_vector,rotation_vector,rotation_vector,rotation_vector,linear_acceleration,linear_acceleration,linear_acceleration,linear_acceleration,gravity,gravity,gravity,gravity
Axis,x,y,z,w,x,y,z,w,x,y,z,w,x,y,z,w,x,y,z,w
3580771625801,0.02321288,-0.02565634,-0.013439035,,3.359065,5.913678,-7.347805,,0.5003201,-0.7831856,-0.1727076,0.3263007,0.055939913,0.10187197,-0.20248032,,3.3174903,5.854902,-7.1333537,
3580788124109,-0.00061086525,0.0030543262,-0.0036651916,,3.3303347,5.8825536,-7.338228,,0.49854195,-0.78444844,-0.17349496,0.32557052,0.0176723,0.029779434,-0.20088053,,3.3126624,5.852774,-7.1373477,
3580804499917,-0.0036651916,0.0067195175,0.0036651916,,3.430891,5.9184666,-7.2352777,,0.49569073,-0.7862431,-0.17464091,0.32498172,0.117287874,0.06584501,-0.09824324,,3.3136032,5.8526216,-7.1370344,
3580820784955,0.004276057,-0.018325957,-0.012217305,,3.4811692,5.887342,-7.2065473,,0.49434024,-0.7870856,-0.17515674,0.32472146,0.16658902,0.035003662,-0.06973791,,3.3145802,5.8523383,-7.1368093,
3580845329147,0.01160644,-0.03848451,-0.01038471,,3.3446999,5.889736,-7.3310456,,0.49286428,-0.7881469,-0.17585993,0.3240104,0.03607917,0.039155006,-0.19002438,,3.3086207,5.850581,-7.1410213,
3580869779532,-0.010995574,-0.032375857,-0.013439035,,3.466804,5.875371,-7.374141,,0.49304107,-0.78816766,-0.17591628,0.32365987,0.16462493,0.02611351,-0.22906017,,3.302179,5.8492575,-7.145081,
3580885941840,-0.016493361,-0.02443461,-0.022602014,,3.3877954,5.877765,-7.371747,,0.49577087,-0.78648084,-0.17497492,0.32410362,0.14275026,0.03289652,-0.22124863,,3.2980514,5.85056,-7.1459265,
3580902442263,-0.032986723,0.0061086523,-0.014660766,,3.2848446,5.827487,-7.371747,,0.49492693,-0.78699917,-0.17550868,0.32384634,-0.010245562,-0.025228977,-0.22622299,,3.2950902,5.852716,-7.145524,
3580926989147,-0.039095376,-0.007941248,-0.004276057,,3.3662477,5.813122,-7.2352777,,0.4945577,-0.78710955,-0.175827,0.3239692,0.070376396,-0.043735027,-0.09351015,,3.2958713,5.856857,-7.1417675,
3580943272878,-0.02565634,-0.05009095,-0.02443461,,3.3327289,5.872977,-7.1993647,,0.4959772,-0.7861773,-0.17545612,0.3242639,0.039524794,0.013167381,-0.058787823,,3.293204,5.8598094,-7.140577,
3580967815108,-0.032375857,-0.0067195175,-0.01038471,,3.0885203,5.899313,-7.273585,,0.4892812,-0.7904169,-0.1787179,0.32234278,-0.19360614,0.035369396,-0.13130379,,3.2821264,5.8639436,-7.142281,
3580984095801,-0.04153884,0.0,0.0,,3.1986535,5.923255,-7.1730285,,0.4881635,-0.79103345,-0.17939958,0.3221466,-0.08171797,0.055519104,-0.03305149,,3.2803714,5.867736,-7.139977,
3581008421685,-0.02565634,-0.023823744,-0.008552114,,3.1771057,5.9807158,-7.1730285,,0.4855032,-0.79258114,-0.18074894,0.32160786,-0.07963419,0.12765026,0.012100697,,3.2759225,5.87398,-7.136882,
3581024920647,-0.023823744,-0.042760566,0.0,,3.2321723,5.9926867,-7.2424603,,0.47499955,-0.7989248,-0.1854314,0.3189197,-0.03761983,0.115905285,-0.10507393,,3.269792,5.8767815,-7.1373863,
3581049247377,-0.023823744,-0.045814894,0.0030543262,,3.3997664,5.896919,-7.2328835,,0.46724933,-0.803492,-0.18879302,0.3169161,0.09968734,0.029361248,-0.097579,,3.264166,5.8795285,-7.1376987,
3581065747647,-0.016493361,-0.032375857,-0.014049901,,3.454833,5.8705826,-7.156269,,0.4730735,-0.8000902,-0.1868621,0.31802505,0.19806004,-0.012539864,-0.0181489,,3.256773,5.8831224,-7.13812,
3581082123993,-0.014660766,-0.012217305,-0.029321533,,3.406949,5.959168,-7.1610575,,0.4764326,-0.7980915,-0.18577038,0.3186714,0.15463471,0.073467255,-0.023031712,,3.2523143,5.8857007,-7.1380258,
3581106578839,-0.017104227,0.013439035,-0.02443461,,3.122039,6.05733,-7.0964136,,0.47890845,-0.796531,-0.18510479,0.3192513,-0.12681222,0.16679192,0.0391984,,3.2488513,5.890538,-7.135612,
3581131121762,0.004276057,-0.027488936,-0.004276057,,3.074155,5.971139,-7.086837,,0.47904453,-0.7963526,-0.18532851,0.319362,-0.17271209,0.075861454,0.045758724,,3.2468672,5.8952775,-7.1325955,
3581147234915,0.014660766,-0.05131268,0.004886922,,3.2752678,5.841852,-7.0700774,,0.47924206,-0.79625684,-0.18533203,0.31930253,0.03366661,-0.05317974,0.06511927,,3.2416012,5.895032,-7.1351967,
3581163778031,0.057421334,-0.11178834,-0.004276057,,3.5745432,5.777209,-7.0844426,,0.48013914,-0.7960237,-0.18507802,0.31868294,0.34195757,-0.11342335,0.058473587,,3.2325857,5.890632,-7.142916,
3581188058915,0.07269296,-0.1001819,-0.036651913,,3.5194764,5.8322754,-7.2831616,,0.4858671,-0.7928719,-0.18273582,0.31920993,0.43333817,-0.05131626,-0.03896284,,3.2226079,5.8835917,-7.153219,
