Sensor,linear_acceleration,linear_acceleration,linear_acceleration,rotation_vector,rotation_vector,rotation_vector
Axis,x,y,z,x,y,z
656549786086850,-0.025920525,-0.0042275935,0.15623951,-0.0056036105,5.535023e-05,-0.18020724
656549802485312,-0.025782913,0.015045896,0.09399128,-0.0056083575,6.339546e-05,-0.18021464
656549827015889,0.014899438,0.0004066378,0.108353615,-0.005594788,5.996137e-05,-0.18022187
656549843392235,-0.008993881,-0.004331894,0.12990093,-0.0055968417,6.287619e-05,-0.18022436
656549867940966,0.007913366,0.007784821,0.10117149,-0.0056027905,7.16297e-05,-0.18022443
656549884325504,0.007976769,-0.025732234,0.117931366,-0.005602297,7.4882344e-05,-0.18023434
656549900720542,0.0031399392,0.012575179,0.13229656,-0.0056027514,7.242721e-05,-0.18022938
656549917090235,-0.0013519693,-0.016007535,0.1059618,-0.0056074345,8.864078e-05,-0.18022703
656549933440081,-0.008341299,-0.0065277517,0.096383095,-0.0056007914,9.749819e-05,-0.18023685
656549957983581,0.008661583,0.010330051,0.13708591,-0.0056034885,0.000110655215,-0.18024428
656549990743042,-0.007903177,-0.0039867684,0.110749245,-0.0056041256,0.0001208766,-0.18024684
656550007107734,-0.01044666,0.007885583,0.12511349,-0.0056005483,0.000112497124,-0.18025418
656550039881273,-0.0031200508,0.00070203096,0.09877777,-0.0055991765,0.00011978036,-0.1802616
656550056257734,-0.024648508,-0.008922555,0.11074734,-0.0055966023,0.00012032598,-0.18026403
656550080776580,-0.0007832516,0.005491525,0.10356617,-0.005599758,0.000116953095,-0.18026888
656550097142080,0.0016126484,-0.013564199,0.10117245,-0.0056046527,0.00011792324,-0.18026628
656550113518349,0.023062382,-0.003987372,0.10835552,-0.0056055547,0.00011300416,-0.18026625
656550138109888,-0.00093069486,0.0103273615,0.11553764,-0.005603492,0.00011002191,-0.18027367
656550162657618,0.0015110355,-0.006432146,0.10835457,-0.0056030494,0.000112432775,-0.18027863
656550179011311,-0.008015282,-0.0013997257,0.09878063,-0.005614824,0.00011717977,-0.18027368
656550203590541,0.0039058123,-0.008335628,0.10117817,-0.0056276554,0.00011695823,-0.18027613
656550219980041,-0.017493531,0.005688213,0.113144875,-0.00560917,0.000121266596,-0.18027617
656550236350926,-0.0033723814,-0.013465248,0.09399223,-0.0056114215,0.00010899959,-0.18027118
656550260903041,0.008348627,-0.015566088,0.108361244,-0.005624017,9.594989e-05,-0.18027605
656550277262464,0.015336482,-0.013514832,0.10356903,-0.0056130225,8.628012e-05,-0.18027838
656550301861156,-0.0015728939,-0.011169374,0.11553955,-0.005611956,7.835286e-05,-0.18028566
656550318201387,-0.008853503,0.010280527,0.1059618,-0.0056079454,7.253746e-05,-0.18028565
656550342753156,-0.0039666938,-0.0063310117,0.10835743,-0.005614457,7.8846715e-05,-0.1802882
656550359127079,-0.01618344,-0.00413312,0.120326996,-0.005606871,6.47317e-05,-0.18029058
656550383722233,-0.004210203,-0.0039371476,0.098781586,-0.005616679,6.663081e-05,-0.1802881
656550408282156,-0.016262712,-0.0015391335,0.103569984,-0.005617619,6.262044e-05,-0.18029545
656550424634617,0.012391385,-0.018342696,0.10356903,-0.005616106,5.8386755e-05,-0.18029542
656550440973963,-0.004420073,-0.0064700693,0.10835743,-0.0056116497,5.495597e-05,-0.18031013
656550465568925,0.009745222,-0.0088644475,0.11314583,-0.0056134784,4.495655e-05,-0.18031505
656550481940348,-0.0140987085,0.0008594841,0.117936134,-0.0056199552,5.1228428e-05,-0.18031508
656550506491309,0.0049033277,-0.006419629,0.10596275,-0.005616508,4.2781754e-05,-0.18032248
656550522849694,-0.018989654,0.0054534525,0.12272167,-0.0056111463,4.4340657e-05,-0.1803225
656550547447809,-0.018938867,0.0030581057,0.1011734,-0.0056106225,4.689106e-05,-0.18032494
656550555613655,6.856024e-05,-0.0016812906,0.11075115,-0.005614424,3.9996175e-05,-0.18032245
656550580166386,-0.009707324,-0.013456762,0.10357189,-0.0056260605,3.186615e-05,-0.18033227
656550596525232,-0.02150975,-0.0039223656,0.09399414,-0.005622384,3.9916984e-05,-0.18032983
656550612920770,-0.00943388,-0.001470089,0.11075306,-0.005642132,4.754169e-05,-0.18031742
656550637493040,0.0049120523,-0.0011987612,0.10357475,-0.0056381174,4.7208512e-05,-0.18032473
656550653864616,0.0049317293,0.008432969,0.10596943,-0.005640691,4.872879e-05,-0.18032967
